,day,section,hour,subjectid,roomno,facultyid
389,mon,M-CSE,6,ASE,CSL101,16
390,mon,M-CSE,7,CSPE08,CSL101,25
391,mon,M-CSE,8,ASE,CSL101,16
392,tue,M-CSE,1,CSPE13,CSL101,10
393,tue,M-CSE,2,ASE,CSL101,16
394,tue,M-CSE,3,CSPE08,CSL101,25
395,tue,M-CSE,4,SC,CSL101,4
396,tue,M-CSE,5,FR,CSL101,
397,tue,M-CSE,6,CSPE28,CSL101,
398,tue,M-CSE,7,FR,CSL101,
399,tue,M-CSE,8,CSPE28,CSL101,2
400,wed,M-CSE,1,ASE,CSL101,16
401,wed,M-CSE,2,CSPE08,CSL101,25
402,wed,M-CSE,3,CSPE28,CSL101,29
403,wed,M-CSE,4,FR,CSL101,
404,wed,M-CSE,5,SC,CSL101,4
405,wed,M-CSE,6,CSPE13,CSL101,10
406,wed,M-CSE,7,CSPE13,CSL101,10
407,wed,M-CSE,8,CSPE28,CSL101,29
408,thu,M-CSE,1,ASE,CSL101,16
409,thu,M-CSE,2,CSPE13,CSL101,10
410,thu,M-CSE,3,CSPE28,CSL101,29
411,thu,M-CSE,4,SC,CSL101,4
412,thu,M-CSE,5,FR,CSL101,
413,thu,M-CSE,6,CSPE08,CSL101,25
414,thu,M-CSE,7,FR,CSL101,42
415,thu,M-CSE,8,CSPE08,CSL101,34
416,fri,M-CSE,1,CSPE08,CSL101,20
417,fri,M-CSE,2,FR,CSL101,42
418,fri,M-CSE,3,ASE,CSL101,16
419,fri,M-CSE,4,SC,CSL101,
420,fri,M-CSE,5,CSPE28,CSL101,29
421,fri,M-CSE,6,CSPE13,CSL101,10
422,fri,M-CSE,7,FR,CSL101,
423,fri,M-CSE,8,CSPE08,CSL101,25
424,sat,M-CSE,1,ASE,CSL101,16
425,sat,M-CSE,2,FR,CSL101,42
426,sat,M-CSE,3,CSPE08,CSL101,34
427,sat,M-CSE,4,CSPE28,CSL101,29
428,sat,M-CSE,5,CSPE13,CSL101,10
429,sat,M-CSE,6,SC,CSL101,4
430,sat,M-CSE,7,CSPE28,CSL101,2
431,sat,M-CSE,8,FR,CSL101,
